Date.Time,Depth,Temp,DO,DOsat,pH,Cond
2019-04-25 00:00:00,0.0,19.156,10.455,116.37,8.586,421.801
2019-04-25 00:00:00,0.5,19.137,10.468,115.732,8.578,421.859
2019-04-25 00:00:00,1.0,19.193,10.411,115.345,8.617,419.71
2019-04-25 00:00:00,1.5,19.229,10.414,115.121,8.618,419.609
2019-04-25 00:00:00,2.0,19.171,10.419,114.568,8.571,421.432
2019-04-25 00:00:00,2.5,19.239,10.351,114.83,8.57,421.246
2019-04-25 00:00:00,3.0,19.24,10.353,114.881,8.622,419.246
2019-04-25 00:00:00,3.5,19.191,10.284,113.024,8.591,420.001
2019-04-25 00:00:00,4.0,18.98,9.845,108.295,8.506,422.678
2019-04-25 00:00:00,4.5,18.752,9.627,106.382,8.517,423.377
2019-04-25 00:00:00,5.0,18.735,9.259,101.92,8.465,422.509
2019-04-25 00:00:00,5.5,18.713,9.177,100.399,8.425,420.038
2019-04-25 00:00:00,6.0,18.584,9.03,98.062,8.388,423.5
2019-04-25 00:00:00,6.5,18.607,8.952,97.613,8.408,423.402
2019-04-25 00:00:00,7.0,18.544,8.871,96.073,8.321,424.592
2019-04-25 00:00:00,7.5,18.407,8.446,92.151,8.324,427.015
2019-04-25 00:00:00,8.0,18.444,8.371,90.832,8.262,426.347
2019-04-25 00:00:00,8.5,18.299,8.36,90.755,8.252,427.924
2019-04-25 00:00:00,9.0,18.292,8.218,89.897,8.297,427.455
2019-04-25 00:00:00,9.5,18.374,8.209,89.33,8.296,427.083
2019-04-25 00:00:00,10.0,18.149,7.997,86.905,8.206,428.591
2019-04-25 02:00:00,0.0,19.053,10.182,112.304,8.545,420.973
2019-04-25 02:00:00,0.5,19.093,10.187,112.345,8.505,420.872
2019-04-25 02:00:00,1.0,19.008,10.186,111.684,8.521,421.103
2019-04-25 02:00:00,1.5,19.032,10.112,111.154,8.5,422.716
2019-04-25 02:00:00,2.0,19.019,10.05,110.764,8.508,422.424
2019-04-25 02:00:00,2.5,19.056,9.981,109.84,8.512,422.013
2019-04-25 02:00:00,3.0,18.923,9.979,109.577,8.557,421.71
2019-04-25 02:00:00,3.5,18.954,9.849,108.971,8.522,422.994
2019-04-25 02:00:00,4.0,18.986,9.913,108.669,8.509,422.912
2019-04-25 02:00:00,4.5,18.924,9.848,108.087,8.525,422.772
2019-04-25 02:00:00,5.0,18.939,9.786,107.902,8.525,422.388
2019-04-25 02:00:00,5.5,18.979,9.785,107.853,8.553,420.292
2019-04-25 02:00:00,6.0,18.917,9.786,107.136,8.553,420.146
2019-04-25 02:00:00,6.5,18.936,9.781,107.042,8.553,420.098
2019-04-25 02:00:00,7.0,18.939,9.719,107.363,8.555,420.101
2019-04-25 02:00:00,7.5,18.866,9.709,106.574,8.553,421.973
2019-04-25 02:00:00,8.0,18.773,9.489,103.776,8.455,422.389
2019-04-25 02:00:00,8.5,18.447,8.447,92.265,8.374,424.856
2019-04-25 02:00:00,9.0,18.319,8.428,91.17,8.265,427.847
2019-04-25 02:00:00,9.5,18.211,8.05,86.568,8.195,428.868
2019-04-25 02:00:00,10.0,18.057,7.857,85.468,8.224,429.103
2019-04-25 04:00:00,0.0,18.987,9.85,108.228,8.441,425.802
2019-04-25 04:00:00,0.5,18.919,9.814,108.218,8.54,423.98
2019-04-25 04:00:00,1.0,18.945,9.823,108.787,8.542,423.918
2019-04-25 04:00:00,1.5,18.953,9.829,108.222,8.53,423.903
2019-04-25 04:00:00,2.0,18.983,9.831,108.267,8.541,423.83
2019-04-25 04:00:00,2.5,18.894,9.834,108.79,8.535,423.744
2019-04-25 04:00:00,3.0,18.901,9.775,108.499,8.543,423.731
2019-04-25 04:00:00,3.5,18.905,9.842,108.074,8.536,423.723
2019-04-25 04:00:00,4.0,18.957,9.848,108.259,8.535,423.276
2019-04-25 04:00:00,4.5,18.959,9.851,108.183,8.526,423.281
2019-04-25 04:00:00,5.0,18.933,9.856,108.161,8.526,423.032
2019-04-25 04:00:00,5.5,18.891,9.853,108.142,8.55,421.141
2019-04-25 04:00:00,6.0,18.995,9.857,108.07,8.547,420.882
2019-04-25 04:00:00,6.5,18.912,9.707,106.525,8.55,420.469
2019-04-25 04:00:00,7.0,18.406,8.452,92.097,8.331,426.999
2019-04-25 04:00:00,7.5,18.337,8.357,90.6,8.276,427.757
2019-04-25 04:00:00,8.0,18.303,8.141,88.969,8.311,426.407
2019-04-25 04:00:00,8.5,18.274,8.131,88.078,8.256,428.001
2019-04-25 04:00:00,9.0,18.144,7.992,86.843,8.204,428.138
2019-04-25 04:00:00,9.5,17.928,7.62,81.63,8.134,428.939
2019-04-25 04:00:00,10.0,17.875,7.285,78.98,8.157,428.25
2019-04-25 06:00:00,0.0,18.961,9.742,107.39,8.474,422.582
2019-04-25 06:00:00,0.5,18.919,9.749,106.709,8.473,422.691
2019-04-25 06:00:00,1.0,18.927,9.69,107.455,8.517,422.676
2019-04-25 06:00:00,1.5,18.954,9.691,106.646,8.538,422.619
2019-04-25 06:00:00,2.0,18.912,9.694,106.619,8.537,422.726
2019-04-25 06:00:00,2.5,18.901,9.628,106.98,8.54,422.752
2019-04-25 06:00:00,3.0,18.905,9.629,106.991,8.526,422.734
2019-04-25 06:00:00,3.5,18.926,9.633,106.223,8.547,422.698
2019-04-25 06:00:00,4.0,18.914,9.635,106.07,8.528,422.724
2019-04-25 06:00:00,4.5,18.915,9.575,105.943,8.539,422.731
2019-04-25 06:00:00,5.0,18.906,9.576,105.783,8.542,422.754
